multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad
200,5777770,2022-09-13,14:06,85.0,60,RUTA 9,R02,PAGADA,25.0,22.0
202,6611172,1932-01-01,18:09,137.0,60,RUTA 9,R03,ERROR,77.0,74.0
204,6611172,2020-04-18,14:06,93.0,80,AV LIBERTADOR,R03,PAGADA,13.0,9.0
207,OUTSTDN,1932-01-01,14:07,159.0,80,AV SIEMPRE VIVA,R02,PAGADA,79.0,75.0
208,VNK296GP,1932-01-01,09:11,79.0,60,AV LIBERTADOR,R02,ERROR,19.0,16.0
211,2999961,1932-01-01,00:00,97.0,80,RUTA 9,R03,PAGADA,17.0,13.0
216,M431ZW,1932-01-01,09:11,109.0,60,RUTA 9,R03,APELADA,49.0,46.0
217,B81JKY,1932-01-01,00:00,92.0,40,RUTA 9,R03,APELADA,52.0,50.0
218,5777770,1932-01-01,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,69.0,66.0
221,RFH373,1932-01-01,09:11,156.0,80,AV SIEMPRE VIVA,R02,APELADA,76.0,72.0
222,XIIUME,1932-01-01,18:10,83.0,60,AV SIEMPRE VIVA,R03,ERROR,23.0,20.0
228,CT5B876,1932-01-01,18:10,141.0,80,RUTA 9,R02,APELADA,61.0,57.0
229,8B90638,1932-01-01,18:10,104.0,60,AV LIBERTADOR,R01,PAGADA,44.0,41.0
231,AI7OVF,1932-01-01,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,48.0,45.0
233,NHZ1002,1932-01-01,18:10,108.0,40,AV SIEMPRE VIVA,R01,APELADA,68.0,66.0
236,831MDB,1932-01-01,08:09,70.0,60,RUTA 9,R03,PAGADA,10.0,7.0
240,W326AVE,1932-01-01,08:10,100.0,80,AV SIEMPRE VIVA,R01,APELADA,20.0,16.0
241,CT5B876,1932-01-01,18:11,65.0,40,RUTA 9,R03,ERROR,25.0,23.0
243,NHZ1002,2021-03-15,00:00,116.0,40,AV LIBERTADOR,R02,IMPAGA,76.0,74.0
247,GN64OTP,1932-01-01,18:11,141.0,80,RUTA 9,R02,APELADA,61.0,57.0
249,6611172,1932-01-01,08:10,78.0,60,AV LIBERTADOR,R02,APELADA,18.0,15.0
256,XIIUME,2020-04-30,00:00,125.0,80,AV SIEMPRE VIVA,R03,ERROR,45.0,41.0
259,HAMSTUR,1932-01-01,14:09,141.0,80,AV SIEMPRE VIVA,R03,PAGADA,61.0,57.0
262,BHRP770,1932-01-01,00:00,94.0,60,AV LIBERTADOR,R01,ERROR,34.0,31.0
263,990XYK,1932-01-01,18:12,98.0,60,AV SIEMPRE VIVA,R02,PAGADA,38.0,35.0
275,WEFLYN,1932-01-01,14:09,139.0,80,AV LIBERTADOR,R03,APELADA,59.0,55.0
285,41RSTZ,1932-01-01,14:10,153.0,80,AV LIBERTADOR,R02,ERROR,73.0,69.0
294,810TCH,1932-01-01,18:14,82.0,40,RUTA 9,R03,IMPAGA,42.0,40.0
297,GOOGLE,1932-01-01,00:00,88.0,60,AV SIEMPRE VIVA,R03,APELADA,28.0,25.0
298,VY90540,1932-01-01,00:00,99.0,80,RUTA 9,R01,ERROR,19.0,15.0
302,GN64OTP,2021-11-08,18:14,157.0,80,RUTA 9,R03,ERROR,77.0,73.0
306,XIIUME,2023-07-26,08:12,133.0,80,AV SIEMPRE VIVA,R02,IMPAGA,53.0,49.0
309,VTIIAHV,1932-01-01,14:10,124.0,60,RUTA 9,R02,ERROR,64.0,61.0
315,MPX9357,1932-01-01,09:14,104.0,60,AV LIBERTADOR,R03,IMPAGA,44.0,41.0
317,GN64OTP,1932-01-01,18:15,88.0,80,RUTA 9,R01,IMPAGA,8.0,4.0
319,WU341A,1932-01-01,09:14,73.0,40,AV LIBERTADOR,R02,IMPAGA,33.0,31.0
322,UW3932,2021-07-12,08:13,100.0,80,AV SIEMPRE VIVA,R02,ERROR,20.0,16.0
324,HAMSTUR,1932-01-01,09:14,96.0,80,AV LIBERTADOR,R03,PAGADA,16.0,12.0
325,9999868,2022-12-21,00:00,159.0,80,RUTA 9,R02,ERROR,79.0,75.0
328,GN64OTP,1932-01-01,14:11,156.0,80,AV SIEMPRE VIVA,R02,PAGADA,76.0,72.0
329,UM96201,1932-01-01,18:15,133.0,60,RUTA 9,R03,APELADA,73.0,70.0
342,6611172,2023-12-03,09:16,79.0,40,AV LIBERTADOR,R03,APELADA,39.0,37.0
354,HF58HXP,1932-01-01,14:12,105.0,80,AV LIBERTADOR,R01,APELADA,25.0,21.0
356,MX60NZA,1932-01-01,09:16,67.0,60,AV LIBERTADOR,R02,PAGADA,7.0,4.0
364,HK06YMX,1932-01-01,14:12,90.0,40,AV LIBERTADOR,R02,PAGADA,50.0,48.0
371,8B90638,1932-01-01,18:17,90.0,40,RUTA 9,R01,IMPAGA,50.0,48.0
380,691XC80,1932-01-01,09:18,103.0,80,AV LIBERTADOR,R01,APELADA,23.0,19.0
382,589222,1932-01-01,08:14,135.0,80,AV SIEMPRE VIVA,R01,IMPAGA,55.0,51.0
383,0695DVH,1932-01-01,18:17,63.0,40,AV LIBERTADOR,R01,ERROR,23.0,21.0
387,MX60NZA,1932-01-01,00:00,125.0,60,AV SIEMPRE VIVA,R02,IMPAGA,65.0,62.0
388,81ZFJD,1932-01-01,09:18,119.0,40,AV LIBERTADOR,R03,ERROR,79.0,77.0
389,GE1466,1932-01-01,14:13,112.0,80,AV LIBERTADOR,R03,IMPAGA,32.0,28.0
394,GLEN1E,1932-01-01,09:19,133.0,80,AV SIEMPRE VIVA,R02,ERROR,53.0,49.0
397,HF3461,1932-01-01,00:00,94.0,80,RUTA 9,R02,APELADA,14.0,10.0
399,810TCH,1932-01-01,09:19,69.0,40,AV SIEMPRE VIVA,R03,IMPAGA,29.0,27.0
402,YLO8WUE,1932-01-01,09:19,119.0,60,RUTA 9,R02,APELADA,59.0,56.0
404,PIW4215,1932-01-01,18:18,49.0,40,AV SIEMPRE VIVA,R03,PAGADA,9.0,7.0
406,WU08YWC,1932-01-01,09:20,155.0,80,AV LIBERTADOR,R02,PAGADA,75.0,71.0
407,6EVY261,1932-01-01,08:15,115.0,60,RUTA 9,R01,PAGADA,55.0,52.0
408,MVU4688,1932-01-01,18:18,91.0,40,AV LIBERTADOR,R02,IMPAGA,51.0,49.0
410,UM96201,1932-01-01,00:00,98.0,60,AV SIEMPRE VIVA,R01,PAGADA,38.0,35.0
412,41RSTZ,2022-04-20,08:15,104.0,60,AV SIEMPRE VIVA,R03,ERROR,44.0,41.0
414,YLO8WUE,1932-01-01,09:20,59.0,40,AV LIBERTADOR,R02,IMPAGA,19.0,17.0
416,BX55DOG,1932-01-01,14:13,97.0,40,AV LIBERTADOR,R01,IMPAGA,57.0,55.0
418,WU341A,1932-01-01,09:20,90.0,40,AV SIEMPRE VIVA,R03,ERROR,50.0,48.0
421,XIIUME,1932-01-01,08:15,115.0,40,RUTA 9,R02,PAGADA,75.0,73.0
422,XIIUME,1932-01-01,18:19,116.0,60,AV SIEMPRE VIVA,R01,IMPAGA,56.0,53.0
424,XIIUME,1932-01-01,14:14,89.0,40,AV LIBERTADOR,R01,ERROR,49.0,47.0
428,GN64OTP,1932-01-01,09:20,68.0,60,RUTA 9,R03,APELADA,8.0,5.0
432,6NCE831,2023-06-20,09:21,88.0,80,RUTA 9,R01,PAGADA,8.0,4.0
433,VY90540,1932-01-01,08:16,66.0,60,RUTA 9,R03,APELADA,6.0,3.0
437,WU08YWC,1932-01-01,09:21,53.0,40,RUTA 9,R01,ERROR,13.0,11.0
441,691XC80,2021-08-13,18:21,117.0,60,AV SIEMPRE VIVA,R01,ERROR,57.0,54.0
444,3646HBH,1932-01-01,00:00,74.0,60,AV LIBERTADOR,R02,PAGADA,14.0,11.0
449,CD05601,1932-01-01,09:21,99.0,80,AV LIBERTADOR,R02,IMPAGA,19.0,15.0
456,XIIUME,2020-05-05,18:21,116.0,80,AV LIBERTADOR,R02,IMPAGA,36.0,32.0
460,81ZFJD,2021-06-29,18:21,95.0,60,RUTA 9,R02,ERROR,35.0,32.0
461,M20CPR,1932-01-01,08:16,125.0,80,AV SIEMPRE VIVA,R01,ERROR,45.0,41.0
467,OUTSTDN,1932-01-01,00:00,146.0,80,AV SIEMPRE VIVA,R01,PAGADA,66.0,62.0
471,B81JKY,1932-01-01,00:00,84.0,60,AV SIEMPRE VIVA,R03,PAGADA,24.0,21.0
472,YLO8WUE,2020-04-28,00:00,75.0,40,AV LIBERTADOR,R02,PAGADA,35.0,33.0
473,2999961,2021-03-29,18:22,99.0,60,AV SIEMPRE VIVA,R03,IMPAGA,39.0,36.0
476,6NCE831,1932-01-01,00:00,106.0,60,AV SIEMPRE VIVA,R03,PAGADA,46.0,43.0
479,PIW4215,1932-01-01,18:22,94.0,80,AV LIBERTADOR,R01,PAGADA,14.0,10.0
481,831MDB,1932-01-01,09:23,93.0,80,RUTA 9,R03,IMPAGA,13.0,9.0
482,691XC80,1932-01-01,18:23,106.0,40,RUTA 9,R03,ERROR,66.0,64.0
484,UM96201,1932-01-01,08:17,77.0,40,AV SIEMPRE VIVA,R02,IMPAGA,37.0,35.0
486,691XC80,2020-05-20,18:23,92.0,60,AV SIEMPRE VIVA,R01,ERROR,32.0,29.0
487,NHZ1002,2024-02-06,18:23,93.0,80,AV LIBERTADOR,R01,ERROR,13.0,9.0
488,6611172,1932-01-01,14:15,100.0,60,AV LIBERTADOR,R03,PAGADA,40.0,37.0
490,81ZFJD,2020-04-10,09:23,62.0,40,AV SIEMPRE VIVA,R03,IMPAGA,22.0,20.0
492,M431ZW,1932-01-01,09:23,62.0,40,AV SIEMPRE VIVA,R02,APELADA,22.0,20.0
493,MPX9357,1932-01-01,09:23,80.0,60,AV LIBERTADOR,R02,PAGADA,20.0,17.0
495,HF3461,2023-09-15,09:24,111.0,80,AV LIBERTADOR,R01,ERROR,31.0,27.0
497,BB8986,1932-01-01,14:16,150.0,80,AV SIEMPRE VIVA,R02,IMPAGA,70.0,66.0
498,BX55DOG,1932-01-01,00:00,103.0,60,RUTA 9,R03,APELADA,43.0,40.0
506,691XC80,1932-01-01,14:16,53.0,40,AV LIBERTADOR,R01,PAGADA,13.0,11.0
507,CD05601,1932-01-01,18:23,71.0,60,AV LIBERTADOR,R01,ERROR,11.0,8.0
514,9999868,2022-02-09,09:24,71.0,40,AV SIEMPRE VIVA,R02,APELADA,31.0,29.0
515,MX60NZA,1932-01-01,18:24,117.0,80,AV LIBERTADOR,R02,PAGADA,37.0,33.0
518,GOOGLE,1932-01-01,18:24,146.0,80,AV SIEMPRE VIVA,R01,APELADA,66.0,62.0
519,WU08YWC,2022-10-15,08:18,100.0,40,AV LIBERTADOR,R01,IMPAGA,60.0,58.0
524,HF3461,1932-01-01,18:24,87.0,80,AV LIBERTADOR,R03,IMPAGA,7.0,3.0
526,FD1475,2022-07-30,00:00,129.0,60,AV LIBERTADOR,R02,APELADA,69.0,66.0
533,VNK296GP,1932-01-01,09:25,120.0,60,RUTA 9,R02,ERROR,60.0,57.0
536,HAMSTUR,1932-01-01,08:19,47.0,40,AV SIEMPRE VIVA,R02,PAGADA,7.0,5.0
541,WEFLYN,1932-01-01,08:19,118.0,40,RUTA 9,R03,APELADA,78.0,76.0
545,WEFLYN,1932-01-01,09:25,81.0,60,AV SIEMPRE VIVA,R01,IMPAGA,21.0,18.0
551,MX60NZA,1932-01-01,00:00,90.0,60,RUTA 9,R02,IMPAGA,30.0,27.0
553,DK414N,1932-01-01,09:26,55.0,40,AV SIEMPRE VIVA,R02,ERROR,15.0,13.0
555,HAMSTUR,1932-01-01,14:18,98.0,40,AV LIBERTADOR,R01,APELADA,58.0,56.0
564,6611172,1932-01-01,14:18,118.0,80,AV LIBERTADOR,R03,APELADA,38.0,34.0
565,6NCE831,1932-01-01,14:19,134.0,80,AV LIBERTADOR,R02,APELADA,54.0,50.0
568,BHRP770,1932-01-01,08:20,153.0,80,RUTA 9,R03,ERROR,73.0,69.0
571,FVIOUHP,1932-01-01,09:26,87.0,60,RUTA 9,R01,IMPAGA,27.0,24.0
574,GE1466,1932-01-01,18:26,78.0,60,RUTA 9,R01,APELADA,18.0,15.0
576,B81JKY,1932-01-01,14:19,80.0,40,AV LIBERTADOR,R02,ERROR,40.0,38.0
578,HF3461,1932-01-01,09:27,126.0,80,AV SIEMPRE VIVA,R02,APELADA,46.0,42.0
581,8B90638,1932-01-01,18:26,107.0,60,AV LIBERTADOR,R03,APELADA,47.0,44.0
582,INTIGR8,1932-01-01,14:20,95.0,60,AV SIEMPRE VIVA,R01,APELADA,35.0,32.0
583,DK414N,1932-01-01,08:21,76.0,60,AV SIEMPRE VIVA,R03,APELADA,16.0,13.0
587,HF3461,1932-01-01,00:00,100.0,40,AV SIEMPRE VIVA,R01,PAGADA,60.0,58.0
593,B81JKY,2022-06-01,18:27,141.0,80,AV SIEMPRE VIVA,R02,PAGADA,61.0,57.0
600,WEFLYN,1932-01-01,14:20,153.0,80,AV LIBERTADOR,R03,IMPAGA,73.0,69.0
608,FD1475,2020-10-21,08:22,113.0,80,AV LIBERTADOR,R02,APELADA,33.0,29.0
615,GOOGLE,1932-01-01,18:28,116.0,80,RUTA 9,R03,APELADA,36.0,32.0
616,HF58HXP,1932-01-01,14:21,76.0,60,AV SIEMPRE VIVA,R02,PAGADA,16.0,13.0
624,41RSTZ,1932-01-01,08:23,140.0,80,AV LIBERTADOR,R01,ERROR,60.0,56.0
625,VTIIAHV,1932-01-01,09:29,97.0,80,AV LIBERTADOR,R01,APELADA,17.0,13.0
626,589222,1932-01-01,09:29,131.0,80,AV SIEMPRE VIVA,R02,PAGADA,51.0,47.0
627,M431ZW,1932-01-01,18:28,146.0,80,AV SIEMPRE VIVA,R02,ERROR,66.0,62.0
629,FVIOUHP,1932-01-01,00:00,88.0,40,AV SIEMPRE VIVA,R02,APELADA,48.0,46.0
636,BB8986,1932-01-01,00:00,101.0,60,RUTA 9,R03,ERROR,41.0,38.0
637,FVIOUHP,1932-01-01,08:23,139.0,60,AV SIEMPRE VIVA,R03,IMPAGA,79.0,76.0
639,MPX9357,2022-11-28,14:21,134.0,60,RUTA 9,R02,IMPAGA,74.0,71.0
643,YLO8WUE,1932-01-01,14:22,87.0,60,AV SIEMPRE VIVA,R02,PAGADA,27.0,24.0
644,VNK296GP,1932-01-01,18:29,116.0,40,RUTA 9,R03,ERROR,76.0,74.0
647,HK06YMX,1932-01-01,14:22,95.0,80,RUTA 9,R03,IMPAGA,15.0,11.0
648,TL03GOG,1932-01-01,09:30,85.0,60,RUTA 9,R03,IMPAGA,25.0,22.0
650,NTHGLFT,2020-06-14,00:00,86.0,80,AV LIBERTADOR,R03,PAGADA,6.0,2.0
652,HAMSTUR,2022-06-10,14:22,75.0,40,AV SIEMPRE VIVA,R03,PAGADA,35.0,33.0
654,OUTSTDN,1932-01-01,18:30,53.0,40,RUTA 9,R03,ERROR,13.0,11.0
664,PIW4215,1932-01-01,18:30,73.0,40,RUTA 9,R02,IMPAGA,33.0,31.0
669,BX55DOG,1932-01-01,14:23,82.0,60,RUTA 9,R03,APELADA,22.0,19.0
670,NTHGLFT,2020-02-04,00:00,55.0,40,AV SIEMPRE VIVA,R01,APELADA,15.0,13.0
675,WEFLYN,1932-01-01,14:23,104.0,60,AV LIBERTADOR,R03,PAGADA,44.0,41.0
677,990XYK,1932-01-01,00:00,74.0,40,AV LIBERTADOR,R01,IMPAGA,34.0,32.0
678,NHZ1002,1932-01-01,14:24,120.0,40,AV LIBERTADOR,R02,ERROR,80.0,78.0
684,AI7OVF,1932-01-01,18:31,113.0,60,AV LIBERTADOR,R03,APELADA,53.0,50.0
699,DK414N,1932-01-01,09:33,133.0,60,RUTA 9,R02,APELADA,73.0,70.0
700,PIW4215,1932-01-01,09:33,96.0,80,AV SIEMPRE VIVA,R03,PAGADA,16.0,12.0
709,NTHGLFT,2020-05-26,08:24,101.0,40,RUTA 9,R03,ERROR,61.0,59.0
712,HF3461,1932-01-01,18:32,119.0,40,AV SIEMPRE VIVA,R03,ERROR,79.0,77.0
713,BHRP770,2020-12-12,00:00,119.0,80,AV LIBERTADOR,R01,APELADA,39.0,35.0
714,9999868,2021-01-25,09:34,149.0,80,AV SIEMPRE VIVA,R01,PAGADA,69.0,65.0
718,831MDB,1932-01-01,08:25,135.0,60,AV LIBERTADOR,R02,APELADA,75.0,72.0
720,RFH373,2023-08-21,08:25,116.0,80,AV LIBERTADOR,R03,APELADA,36.0,32.0
721,WEFLYN,1932-01-01,09:34,89.0,80,RUTA 9,R03,ERROR,9.0,5.0
727,HF58HXP,1932-01-01,08:26,69.0,60,AV LIBERTADOR,R01,IMPAGA,9.0,6.0
728,AWS167,2020-05-22,14:25,137.0,80,AV LIBERTADOR,R03,ERROR,57.0,53.0
732,CT5B876,1932-01-01,14:25,88.0,80,AV SIEMPRE VIVA,R01,IMPAGA,8.0,4.0
733,2999961,1932-01-01,00:00,127.0,60,RUTA 9,R01,APELADA,67.0,64.0
734,FVIOUHP,1932-01-01,08:26,111.0,80,AV SIEMPRE VIVA,R03,PAGADA,31.0,27.0
737,AWS167,1932-01-01,14:25,118.0,60,AV SIEMPRE VIVA,R01,APELADA,58.0,55.0
745,GOOGLE,1932-01-01,14:26,112.0,80,AV SIEMPRE VIVA,R02,ERROR,32.0,28.0
755,FD1475,1932-01-01,00:00,85.0,40,AV LIBERTADOR,R03,ERROR,45.0,43.0
759,VTIIAHV,2023-06-04,08:27,118.0,60,AV LIBERTADOR,R02,APELADA,58.0,55.0
768,YLO8WUE,1932-01-01,00:00,87.0,60,RUTA 9,R03,ERROR,27.0,24.0
770,RFH373,1932-01-01,09:36,104.0,40,AV LIBERTADOR,R02,APELADA,64.0,62.0
773,DI2LOT,1932-01-01,08:28,115.0,40,AV LIBERTADOR,R03,APELADA,75.0,73.0
779,OUTSTDN,1932-01-01,00:00,104.0,60,RUTA 9,R03,PAGADA,44.0,41.0
780,GLEN1E,1932-01-01,18:36,71.0,60,AV SIEMPRE VIVA,R02,ERROR,11.0,8.0
783,HF58HXP,1932-01-01,08:29,90.0,60,AV SIEMPRE VIVA,R01,PAGADA,30.0,27.0
784,BB8986,1932-01-01,18:36,82.0,60,RUTA 9,R02,IMPAGA,22.0,19.0
787,8B90638,1932-01-01,14:28,136.0,80,AV LIBERTADOR,R02,IMPAGA,56.0,52.0
788,9999868,1932-01-01,14:28,94.0,60,AV LIBERTADOR,R01,ERROR,34.0,31.0
792,589222,2021-09-25,18:37,153.0,80,AV SIEMPRE VIVA,R02,APELADA,73.0,69.0
807,W326AVE,2023-08-15,08:30,82.0,60,RUTA 9,R02,APELADA,22.0,19.0
808,XIIUME,1932-01-01,14:29,157.0,80,RUTA 9,R03,ERROR,77.0,73.0
811,AWS167,1932-01-01,08:30,71.0,40,AV LIBERTADOR,R03,IMPAGA,31.0,29.0
814,M431ZW,1932-01-01,00:00,132.0,60,AV LIBERTADOR,R01,APELADA,72.0,69.0
815,HAMSTUR,1932-01-01,14:29,78.0,60,AV SIEMPRE VIVA,R03,ERROR,18.0,15.0
816,DK414N,1932-01-01,09:37,117.0,80,AV LIBERTADOR,R03,IMPAGA,37.0,33.0
819,6EVY261,2024-01-07,09:37,135.0,80,AV LIBERTADOR,R01,IMPAGA,55.0,51.0
823,6611172,2022-02-01,08:31,136.0,80,AV LIBERTADOR,R03,ERROR,56.0,52.0
827,HF58HXP,1932-01-01,18:38,153.0,80,RUTA 9,R03,IMPAGA,73.0,69.0
834,9999868,1932-01-01,00:00,96.0,80,AV SIEMPRE VIVA,R03,ERROR,16.0,12.0
841,M431ZW,1932-01-01,00:00,114.0,60,AV SIEMPRE VIVA,R03,ERROR,54.0,51.0
842,AI7OVF,1932-01-01,14:30,54.0,40,AV LIBERTADOR,R03,PAGADA,14.0,12.0
843,CD05601,1932-01-01,14:30,151.0,80,AV SIEMPRE VIVA,R01,PAGADA,71.0,67.0
847,UM96201,2021-06-18,18:38,135.0,60,AV SIEMPRE VIVA,R02,APELADA,75.0,72.0
850,6EVY261,1932-01-01,09:39,98.0,80,AV LIBERTADOR,R01,IMPAGA,18.0,14.0
851,6EVY261,1932-01-01,09:39,117.0,40,AV LIBERTADOR,R02,IMPAGA,77.0,75.0
853,PIW4215,1932-01-01,00:00,99.0,60,AV LIBERTADOR,R02,IMPAGA,39.0,36.0
855,NTHGLFT,1932-01-01,09:40,108.0,40,AV LIBERTADOR,R01,APELADA,68.0,66.0
865,WU08YWC,1932-01-01,00:00,62.0,40,AV SIEMPRE VIVA,R01,ERROR,22.0,20.0
872,990XYK,2024-01-08,14:31,80.0,40,RUTA 9,R01,PAGADA,40.0,38.0
873,INTIGR8,1932-01-01,14:32,113.0,60,AV LIBERTADOR,R02,PAGADA,53.0,50.0
882,BB8986,1932-01-01,14:32,124.0,80,AV LIBERTADOR,R01,APELADA,44.0,40.0
884,6NCE831,2022-07-02,09:41,69.0,60,AV LIBERTADOR,R01,APELADA,9.0,6.0
887,CT5B876,1932-01-01,00:00,83.0,40,RUTA 9,R02,ERROR,43.0,41.0
888,9999868,2023-04-07,09:41,53.0,40,AV LIBERTADOR,R01,IMPAGA,13.0,11.0
893,VTIIAHV,2021-08-17,00:00,83.0,40,RUTA 9,R03,IMPAGA,43.0,41.0
